country,units_cancelled,cancelled_value,cancelled_orders
United Kingdom,256111,443053.31,3029
EIRE,4776,11470.84,65
Germany,1798,4761.49,135
France,1578,2416.4,59
USA,1424,1849.47,2
Spain,1124,3959.91,12
Japan,795,1996.58,6
Australia,555,1181.31,11
Sweden,443,1662.42,8
Netherlands,324,409.80000000000007,3
Switzerland,300,582.55,18
Italy,110,543.9,14
Norway,88,161.68,2
Belgium,82,264.38,19
Czech Republic,78,115.02,2
Portugal,71,143.64000000000001,6
Israel,56,227.44,1
Austria,54,44.36,2
Bahrain,54,205.74,1
Denmark,46,169.2,2
Cyprus,43,323.4,3
Finland,33,41.34,4
Poland,31,121.50999999999999,5
Malta,24,90.11999999999999,4
Channel Islands,11,71.15,6
Saudi Arabia,5,14.75,1
European Community,2,8.5,1
Hong Kong,1,10.95,1
