country,total_revenue,total_orders,total_customers,total_quantity,average_order_value,average_unit_price
Australia,137124.05,53,9,83464,2587.246226415094,1.6429125131793347
Austria,8742.68,17,11,4844,514.275294117647,1.8048472336911643
Bahrain,548.4,2,2,260,274.2,2.109230769230769
Belgium,36813.69,98,25,22927,375.6498979591837,1.6056915427225542
Brazil,1143.6,1,1,356,1143.6,3.2123595505617977
Canada,3115.44,5,4,2762,623.088,1.1279652425778421
Channel Islands,19997.54,25,9,9481,799.9016,2.109222655837992
Cyprus,12940.91,13,8,6303,995.4546153846154,2.0531350150721877
Czech Republic,750.98,2,1,646,375.49,1.1625077399380805
Denmark,18081.24,18,9,8160,1004.5133333333334,2.2158382352941177
EIRE,260601.49,279,3,142573,934.0555197132616,1.8278460157252776
European Community,1159.25,3,1,490,386.4166666666667,2.365816326530612
Finland,18344.88,40,12,10608,458.622,1.729343891402715
France,182834.59,380,87,109884,481.1436578947368,1.663887281132831
Germany,203961.43,443,94,117251,460.4095485327314,1.739528276944333
Greece,4425.52,5,4,1550,885.104,2.8551741935483874
Hong Kong,9744.19,7,0,4708,1392.027142857143,2.069709005947324
Iceland,4310,7,1,2458,615.7142857142857,1.7534580960130186
Israel,8129.41,8,3,4406,1016.17625,1.845077167498865
Italy,15586.74,35,14,8029,445.33542857142857,1.9413052684020426
Japan,37314.37,19,8,25976,1963.9142105263159,1.4364940714505698
Lebanon,1693.88,1,1,386,1693.88,4.388290155440415
Lithuania,1661.06,4,1,652,415.265,2.5476380368098157
Malta,2050.69,5,2,956,410.13800000000003,2.1450732217573223
Netherlands,283479.54,93,9,199934,3048.1670967741934,1.4178655956465633
Norway,32319.31,31,10,19201,1042.5583870967741,1.6832097286599657
Poland,6909.85,19,6,3667,363.6763157894737,1.8843332424325063
Portugal,26831.260000000002,50,19,16063,536.6252000000001,1.6703766419722343
RSA,1002.3100000000001,1,1,351,1002.3100000000001,2.8555840455840458
Saudi Arabia,145.92,1,1,80,145.92,1.8239999999999998
Singapore,9120.39,4,1,5234,2280.0975,1.742527703477264
Spain,52029.97,87,29,26655,598.0456321839081,1.9519778653160758
Sweden,36410.83,34,8,35853,1070.9067647058823,1.0155588095835775
Switzerland,52717.45,49,21,30282,1075.8663265306122,1.7408840235123175
USA,1730.92,3,2,1034,576.9733333333334,1.6740038684719536
United Arab Emirates,1864.78,2,2,981,932.39,1.9008970438328237
United Kingdom,8358157.043000001,17792,3909,4424331,469.7705172549461,1.8891346608108663
Unspecified,4740.94,13,4,3295,364.68769230769226,1.4388285280728375
