customer_id,total_revenue,total_orders,total_units,average_order_value,first_purchase,last_purchase
12346,77183.6,1,74215,77183.6,2011-01-18T10:01:00Z,2011-01-18T10:01:00Z
12347,4310,7,2458,615.7142857142857,2010-12-07T14:57:00Z,2011-12-07T15:52:00Z
12348,1797.24,4,2341,449.31,2010-12-16T19:09:00Z,2011-09-25T13:13:00Z
12349,1757.55,1,631,1757.55,2011-11-21T09:51:00Z,2011-11-21T09:51:00Z
12350,334.4,1,197,334.4,2011-02-02T16:01:00Z,2011-02-02T16:01:00Z
12352,2506.04,8,536,313.255,2011-02-16T12:33:00Z,2011-11-03T14:37:00Z
12353,89,1,20,89,2011-05-19T17:47:00Z,2011-05-19T17:47:00Z
12354,1079.4,1,530,1079.4,2011-04-21T13:11:00Z,2011-04-21T13:11:00Z
12355,459.4,1,240,459.4,2011-05-09T13:49:00Z,2011-05-09T13:49:00Z
12356,2811.43,3,1591,937.1433333333333,2011-01-18T09:50:00Z,2011-11-17T08:40:00Z
12357,6207.67,1,2708,6207.67,2011-11-06T16:07:00Z,2011-11-06T16:07:00Z
12358,1168.0600000000002,2,248,584.0300000000001,2011-07-12T10:04:00Z,2011-12-08T10:26:00Z
12359,6310.03,4,1609,1577.5075,2011-01-12T12:43:00Z,2011-10-13T12:47:00Z
12360,2662.06,3,1165,887.3533333333334,2011-05-23T09:43:00Z,2011-10-18T15:22:00Z
12361,189.9,1,91,189.9,2011-02-25T13:51:00Z,2011-02-25T13:51:00Z
12362,5226.23,10,2229,522.6229999999999,2011-02-17T10:30:00Z,2011-12-06T15:40:00Z
12363,552,2,408,276,2011-04-11T13:29:00Z,2011-08-22T10:18:00Z
12364,1313.1,4,1506,328.275,2011-08-19T15:24:00Z,2011-12-02T10:22:00Z
12365,641.38,2,174,320.69,2011-02-21T13:51:00Z,2011-02-21T14:04:00Z
12367,168.9,1,173,168.9,2011-12-05T16:48:00Z,2011-12-05T16:48:00Z
12370,3541.94,4,2352,885.485,2010-12-14T12:58:00Z,2011-10-19T14:51:00Z
12371,1887.96,2,591,943.98,2011-10-11T10:43:00Z,2011-10-26T10:16:00Z
