month_date,units_cancelled,cancelled_value,cancelled_orders
2010-12-01T00:00:00Z,16010,74729.12,326
2011-01-01T00:00:00Z,79844,131363.05000000002,260
2011-02-01T00:00:00Z,2865,25519.15,219
2011-03-01T00:00:00Z,5175,34201.28,318
2011-04-01T00:00:00Z,13644,44600.65,240
2011-05-01T00:00:00Z,5868,47202.51,314
2011-06-01T00:00:00Z,7336,70569.78,329
2011-07-01T00:00:00Z,6027,37919.13,270
2011-08-01T00:00:00Z,12345,54330.8,278
2011-09-01T00:00:00Z,7330,38838.51,333
2011-10-01T00:00:00Z,22952,81895.5,362
2011-11-01T00:00:00Z,12595,47720.98,441
2011-12-01T00:00:00Z,83569,205089.27000000002,146
