month_date,revenue,orders,customer
2010-12-01T00:00:00Z,821452.73,1629,886
2011-01-01T00:00:00Z,689811.61,1120,742
2011-02-01T00:00:00Z,522545.56,1126,759
2011-03-01T00:00:00Z,716215.26,1531,975
2011-04-01T00:00:00Z,536968.491,1318,857
2011-05-01T00:00:00Z,769296.61,1731,1057
2011-06-01T00:00:00Z,760547.01,1576,992
2011-07-01T00:00:00Z,718076.121,1540,950
2011-08-01T00:00:00Z,735717.26,1409,936
2011-09-01T00:00:00Z,1056435.192,1896,1267
2011-10-01T00:00:00Z,1151263.73,2129,1365
2011-11-01T00:00:00Z,1503866.78,2884,1666
2011-12-01T00:00:00Z,637790.33,839,616
