stock_code,description,units_sold,sales_value,units_cancelled,cancelled_value,cancelled_orders,cancellation_rate
10002,INFLATABLE POLITICAL GLOBE,860,759.89,0,0,0,0
10080,GROOVY CACTUS INFLATABLE,303,119.08999999999999,0,0,0,0
10120,DOGGY RUBBER,192,40.32,0,0,0,0
10123C,HEARTS WRAPPING TAPE,5,3.25,0,0,0,0
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,0,0,0,0
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,0,0,0,0
10125,MINI FUNKY DESIGN TAPES,1295,993.99,0,0,0,0
10133,COLOURING PENCILS BROWN TUBE,2846,1535.4,10,4.2,1,0.0035014005602240898
10135,COLOURING PENCILS BROWN TUBE,2229,2204.89,1,1.25,1,4.484304932735426e-4
11001,ASSTD DESIGN RACING CAR PEN,1615,2389.44,185,237.04999999999998,5,0.10277777777777777
15030,FAN BLACK FRAME,143,41.47,0,0,0,0
15034,PAPER POCKET TRAVELING FAN,5247,735.86,1385,108.29000000000002,4,0.2088359469240048
15036,ASSORTED COLOURS SILK FAN,23802,18549.92,744,505.68,4,0.030310437545832316
15039,SANDALWOOD FAN,2070,1961.6399999999999,26,22.1,3,0.012404580152671756
15044A,PINK PAPER PARASOL,458,1439.0200000000002,1,2.95,1,0.002178649237472767
15044B,BLUE PAPER PARASOL,321,946.83,1,2.95,1,0.003105590062111801
15044C,PURPLE PAPER PARASOL,313,1022.9900000000001,3,8.05,2,0.00949367088607595
15044D,RED PAPER PARASOL,644,1819.76,2,5.5,2,0.0030959752321981426
15056BL,EDWARDIAN PARASOL BLACK,2804,16280.070000000002,130,652.5,5,0.04430811179277437
15056N,EDWARDIAN PARASOL NATURAL,4026,23434.52,57,337.45,7,0.013960323291697281
15056P,EDWARDIAN PARASOL PINK,803,4731.7,10,58.2,4,0.012300123001230012
15058A,BLUE POLKADOT GARDEN PARASOL,198,1652.59,5,37.35,4,0.024630541871921183
15058B,PINK POLKADOT GARDEN PARASOL,228,1885.27,5,37.35,2,0.02145922746781116
15058C,ICE CREAM DESIGN GARDEN PARASOL,240,1429.82,0,0,0,0
15060B,FAIRY CAKE DESIGN UMBRELLA,453,1828.67,1,3.75,1,0.0022026431718061676
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,0,0,0,0
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,0,0,0,0
16011,ANIMAL STICKERS,1749,367.29,0,0,0,0
16012,FOOD/DRINK SPONGE STICKERS,1220,256.2,0,0,0,0
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,0,0,0,0
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98,0,0,0,0
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45,0,0,0,0
16020C,CLEAR STATIONERY BOX SET,84,69.89999999999999,0,0,0,0
16033,MINI HIGHLIGHTER PENS,840,100.79999999999998,0,0,0,0
16043,POP ART PUSH DOWN RUBBER,98,11.759999999999998,0,0,0,0
16045,POPART WOODEN PENCILS ASST,8900,380,0,0,0,0
16046,TEATIME PEN CASE & PENS,65,55.25,0,0,0,0
16048,TEATIME ROUND PENCIL SHARPENER,1460,205.29999999999998,0,0,0,0
16049,TEATIME GEL PENS ASST,504,82.08,0,0,0,0
16052,TEATIME PUSH DOWN RUBBER,479,115.3,0,0,0,0
16054,POPART RECT PENCIL SHARPENER ASST,1166,140.52,108,12.959999999999999,1,0.0847723704866562
16151A,FLOWERS HANDBAG blue and orange,49,61.25,0,0,0,0
16156L,WRAP CAROUSEL,375,157.5,0,0,0,0
16156L,"WRAP, CAROUSEL",100,42,0,0,0,0
16156S,WRAP PINK FAIRY CAKES,5800,2331,0,0,0,0
16161G,WRAP BAD HAIR DAY,700,70,0,0,0,0
16161M,WRAP  PINK FLOCK,25,10.5,0,0,0,0
16161P,WRAP ENGLISH ROSE,7176,2969.92,25,10.5,1,0.0034717400361060965
16161U,WRAP SUKI AND FRIENDS,4050,1677,25,10.5,1,0.006134969325153374
16162L,THE KING GIFT BAG,20,13,0,0,0,0
16162M,THE KING GIFT BAG 25x24x12cm,28,11.76,0,0,0,0
16168M,FUNKY MONKEY GIFT BAG MEDIUM,371,173.12,0,0,0,0
16169E,WRAP 50'S  CHRISTMAS,4438,1839.96,125,52.5,2,0.027394258163488932
16169K,WRAP FOLK ART,200,84,0,0,0,0
16169M,WRAP DAISY CARPET,660,277.2,0,0,0,0
16169N,WRAP BLUE RUSSIAN FOLKART,25,10.5,0,0,0,0
16169P,WRAP GREEN RUSSIAN FOLKART,50,21,0,0,0,0
16202A,PASTEL PINK PHOTO ALBUM,7,3.5,0,0,0,0
16202B,PASTEL BLUE PHOTO ALBUM,29,14.5,0,0,0,0
16202E,BLACK PHOTO ALBUM,15,7.5,1,5.55,1,0.0625
16206B,RED PURSE WITH PINK HEART,7,8.75,0,0,0,0
16207A,PINK STRAWBERRY HANDBAG,60,163.1,0,0,0,0
16207B,PINK HEART RED HANDBAG,29,76.14,0,0,0,0
16216,LETTER SHAPE PENCIL SHARPENER,3333,234,0,0,0,0
16218,CARTOON  PENCIL SHARPENERS,3821,283.31,0,0,0,0
16219,HOUSE SHAPE PENCIL SHARPENER,3000,404.84,48,2.88,1,0.015748031496062992
