stock_code,description,units_cancelled,cancelled_value,cancelled_orders
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1
23166,MEDIUM CERAMIC TOP STORAGE JAR,74494,77479.64,10
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9376,321.6,4
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3150,6591.420000000001,3
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2578,6624.3,42
21175,GIN + TONIC DIET METAL SIGN,2030,3775.33,7
22920,HERB MARKER BASIL,1527,841.0500000000001,2
22273,FELTCRAFT DOLL MOLLY,1447,3512.6499999999996,5
47566B,TEA TIME PARTY BUNTING,1424,3692.9499999999994,7
15034,PAPER POCKET TRAVELING FAN,1385,108.29000000000002,4
20971,PINK BLUE FELT CRAFT TRINKET BOX,1321,1405.01,4
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1200,253.92,5
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1174,3246.16,24
85099B,JUMBO BAG RED RETROSPOT,1115,1984.02,43
21877,HOME SWEET HOME MUG,1052,1134.3200000000002,15
23113,PANTRY CHOPPING BOARD,946,4803.0599999999995,6
22151,PLACE SETTING WHITE HEART,890,321.96,5
22147,FELTCRAFT BUTTERFLY HEARTS,877,1103.65,8
22423,REGENCY CAKESTAND 3 TIER,855,9697.05,180
15036,ASSORTED COLOURS SILK FAN,744,505.68,4
23199,JUMBO BAG APPLES,723,1309.25,21
22102,MIRROR MOSAIC T-LIGHT HOLDER,720,280.8,1
23170,REGENCY TEA PLATE ROSES,718,1046.3,12
22992,REVOLVER WOODEN RULER,716,1193.3999999999999,8
22991,GIRAFFE WOODEN RULER,714,1185.9,6
21069,VINTAGE BILLBOARD TEA MUG,701,743.0600000000001,1
21871,SAVE THE PLANET MUG,685,740.94,12
48185,DOORMAT FAIRY CAKE,674,4554.9,3
22328,ROUND SNACK BOXES SET OF 4 FRUITS,658,1691.4999999999998,16
22149,FELTCRAFT 6 FLOWER FRIENDS,623,1158.3,9
23201,JUMBO BAG ALPHABET,594,1076.02,14
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,579,1859.07,7
20725,LUNCH BAG RED RETROSPOT,574,854.7,43
23203,JUMBO BAG VINTAGE DOILY,568,1030.64,13
20974,12 PENCILS SMALL TUBE SKULL,566,367.9,3
21787,RAIN PONCHO RETROSPOT,528,420,3
23167,SMALL CERAMIC TOP STORAGE JAR,525,365.19,9
72802C,VANILLA SCENT CANDLE JEWELLED BOX,505,579.81,4
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,482,201.66,3
22386,JUMBO BAG PINK POLKADOT,456,816.58,13
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,454,662.24,6
22086,PAPER CHAIN KIT 50'S CHRISTMAS,453,1160.35,10
22178,VICTORIAN GLASS HANGING T-LIGHT,450,638.4,25
23207,LUNCH BAG ALPHABET DESIGN,448,659.6,13
22564,ALPHABET STENCIL CRAFT,437,464.17,2
22699,ROSES REGENCY TEACUP AND SAUCER,437,1150.35,54
23057,BEADED CHANDELIER T-LIGHT HOLDER,433,636.15,6
23055,IVORY CHANDELIER T-LIGHT HOLDER,432,690.72,5
22197,POPCORN HOLDER,427,329.40999999999997,36
21439,BASKET OF TOADSTOOLS,408,432.48,1
22835,HOT WATER BOTTLE I AM SO POORLY,394,1679.7,6
21212,PACK OF 72 RETROSPOT CAKE CASES,380,199.38000000000002,14
21232,STRAWBERRY CERAMIC TRINKET BOX,362,414.5,52
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,354,622.47,12
82494L,WOODEN FRAME ANTIQUE WHITE,353,910.9499999999999,16
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,351,931.4499999999999,12
22191,IVORY DINER WALL CLOCK,344,2653.7000000000003,16
21931,JUMBO STORAGE BAG SUKI,334,602.33,17
22961,JAM MAKING SET PRINTED,331,425.75,12
22101,MIRROR MOSAIC VOTIVE HOLDER,324,126.36,1
22950,36 DOILIES VINTAGE CHRISTMAS,324,412.2,3
21843,RED RETROSPOT CAKE STAND,322,2480.5,42
22659,LUNCH BOX I LOVE LONDON,322,546,18
84946,ANTIQUE SILVER T-LIGHT GLASS,316,349.21000000000004,23
22952,60 CAKE CASES VINTAGE CHRISTMAS,312,140.4,4
20733,GOLD MINI TAPE MEASURE,300,216,1
22959,WRAP CHRISTMAS VILLAGE,300,126,3
21135,VICTORIAN  METAL POSTCARD SPRING,296,128.72,3
22070,SMALL RED RETROSPOT MUG IN BOX,296,336.54,5
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,292,571.8000000000001,2
82580,BATHROOM METAL SIGN,290,127,5
85178,VICTORIAN SEWING KIT,289,322.85,5
84598,BOYS ALPHABET IRON ON PATCHES,288,60.48,1
22071,SMALL WHITE RETROSPOT MUG IN BOX,286,180.5,5
85099C,JUMBO  BAG BAROQUE BLACK WHITE,281,510.88,14
47566,PARTY BUNTING,277,1201.3500000000001,20
22561,WOODEN SCHOOL COLOURING SET,276,405,3
22630,DOLLY GIRL LUNCH BOX,275,478.6499999999999,10
22493,PAINT YOUR OWN CANVAS SET,273,396.45,4
23343,JUMBO BAG VINTAGE CHRISTMAS,271,505.68,7
22356,CHARLOTTE BAG PINK POLKADOT,266,201.53,17
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,265,479.58,8
84949,SILVER HANGING T-LIGHT HOLDER,263,412.34999999999997,35
23344,JUMBO BAG 50'S CHRISTMAS,262,486.96000000000004,7
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,259,195.19,7
22945,CHRISTMAS METAL TAGS ASSORTED,258,200.57999999999998,5
85232B,SET OF 3 BABUSHKA STACKING TINS,255,1258.05,6
22313,OFFICE MUG WARMER PINK,250,637.5,1
85099F,JUMBO BAG STRAWBERRY,250,448.49,13
22960,JAM MAKING SET WITH JARS,247,1012.79,87
22570,FELTCRAFT CUSHION RABBIT,245,832.35,3
20713,JUMBO BAG OWLS,243,431.43,6
23202,JUMBO BAG VINTAGE LEAF,242,442.46000000000004,6
20712,JUMBO BAG WOODLAND ANIMALS,240,426.46,9
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,240,228,1
23157,SET OF 6 NATIVITY MAGNETS,240,444,1
21155,RED RETROSPOT PEG BAG,238,510.6,13
22922,FRIDGE MAGNETS US DINER ASSORTED,234,183.29999999999998,5
82482,WOODEN PICTURE FRAME WHITE FINISH,233,581.55,18
22924,FRIDGE MAGNETS LA VIE EN ROSE,229,179.04999999999998,5
75049L,LARGE CIRCULAR MIRROR MOBILE,228,204.2,20
21499,BLUE POLKADOT WRAP,225,82.5,2
23284,DOORMAT KEEP CALM AND COME IN,225,1601.25,7
20724,RED RETROSPOT CHARLOTTE BAG,223,170.31,16
21929,JUMBO BAG PINK VINTAGE PAISLEY,222,387.07,12
22900,SET 2 TEA TOWELS I LOVE LONDON,216,552.6,11
20728,LUNCH BAG CARS BLUE,214,327.5,23
21154,RED RETROSPOT OVEN GLOVE,212,227,4
22834,HAND WARMER BABUSHKA DESIGN,203,306.05,7
82483,WOOD 2 DRAWER CABINET WHITE FINISH,203,1225.8500000000001,40
21035,SET/2 RED RETROSPOT TEA TOWELS,200,550,2
23210,WHITE ROCKING HORSE HAND PAINTED,200,219.76,4
22492,MINI PAINT SET VINTAGE,196,127.4,10
22588,CARD HOLDER GINGHAM HEART,195,411.87000000000006,3
22569,FELTCRAFT CUSHION BUTTERFLY,194,658.38,3
