stock_code,description,total_revenue,total_quantity,total_orders,average_price
10002,INFLATABLE POLITICAL GLOBE,759.89,860,71,1.0866197183098592
10080,GROOVY CACTUS INFLATABLE,119.08999999999999,303,22,0.41090909090909095
10120,DOGGY RUBBER,40.32,192,29,0.21
10123C,HEARTS WRAPPING TAPE,3.25,5,3,0.65
10124A,SPOTS ON RED BOOKCOVER TAPE,6.72,16,5,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,7.14,17,4,0.42
10125,MINI FUNKY DESIGN TAPES,993.99,1295,91,0.8597849462365591
10133,COLOURING PENCILS BROWN TUBE,1535.4,2846,195,0.6537435897435897
10135,COLOURING PENCILS BROWN TUBE,2204.89,2229,175,1.4128813559322033
11001,ASSTD DESIGN RACING CAR PEN,2389.44,1615,113,1.89
15030,FAN BLACK FRAME,41.47,143,12,0.29
15034,PAPER POCKET TRAVELING FAN,735.86,5247,136,0.3779411764705882
15036,ASSORTED COLOURS SILK FAN,18549.92,23802,517,1.0682239382239382
15039,SANDALWOOD FAN,1961.6399999999999,2070,144,1.2449999999999999
15044A,PINK PAPER PARASOL,1439.0200000000002,458,102,3.67
15044B,BLUE PAPER PARASOL,946.83,321,60,3.506666666666667
15044C,PURPLE PAPER PARASOL,1022.9900000000001,313,88,3.851818181818182
15044D,RED PAPER PARASOL,1819.76,644,84,3.3333333333333335
15056BL,EDWARDIAN PARASOL BLACK,16280.070000000002,2804,380,7.425315789473685
15056N,EDWARDIAN PARASOL NATURAL,23434.52,4026,537,7.817161410018553
15056P,EDWARDIAN PARASOL PINK,4731.7,803,169,7.3004142011834325
15058A,BLUE POLKADOT GARDEN PARASOL,1652.59,198,88,9.223295454545454
15058B,PINK POLKADOT GARDEN PARASOL,1885.27,228,97,9.890927835051546
15058C,ICE CREAM DESIGN GARDEN PARASOL,1429.82,240,72,9.33361111111111
15060B,FAIRY CAKE DESIGN UMBRELLA,1828.67,453,133,5.076766917293233
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,2892,70,0.13614285714285715
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,30,3,0.12
16011,ANIMAL STICKERS,367.29,1749,46,0.21
16012,FOOD/DRINK SPONGE STICKERS,256.2,1220,35,0.21
16014,SMALL CHINESE STYLE SCISSOR,4335.76,13328,54,0.4014814814814815
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,662,24,0.48833333333333334
16016,LARGE CHINESE STYLE SCISSOR,1053.45,1273,65,0.846
16020C,CLEAR STATIONERY BOX SET,69.89999999999999,84,17,0.8335294117647059
16033,MINI HIGHLIGHTER PENS,100.79999999999998,840,4,0.12
16043,POP ART PUSH DOWN RUBBER,11.759999999999998,98,2,0.12
16045,POPART WOODEN PENCILS ASST,380,8900,68,0.043478260869565216
16046,TEATIME PEN CASE & PENS,55.25,65,14,0.85
16048,TEATIME ROUND PENCIL SHARPENER,205.29999999999998,1460,67,0.3280882352941176
16049,TEATIME GEL PENS ASST,82.08,504,5,0.24
16052,TEATIME PUSH DOWN RUBBER,115.3,479,13,0.5892307692307692
16054,POPART RECT PENCIL SHARPENER ASST,140.52,1166,33,0.1290909090909091
16151A,FLOWERS HANDBAG blue and orange,61.25,49,3,1.25
16156L,WRAP CAROUSEL,157.5,375,14,0.42
16156L,"WRAP, CAROUSEL",42,100,4,0.42
16156S,WRAP PINK FAIRY CAKES,2331,5800,167,0.41688622754491017
16161G,WRAP BAD HAIR DAY,70,700,22,0.1
16161M,WRAP  PINK FLOCK,10.5,25,1,0.42
16161P,WRAP ENGLISH ROSE,2969.92,7176,247,0.4194331983805668
16161U,WRAP SUKI AND FRIENDS,1677,4050,133,0.4195488721804511
16162L,THE KING GIFT BAG,13,20,8,0.65
16162M,THE KING GIFT BAG 25x24x12cm,11.76,28,8,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,173.12,371,41,0.6314634146341463
16169E,WRAP 50'S  CHRISTMAS,1839.96,4438,147,0.4191891891891892
16169K,WRAP FOLK ART,84,200,8,0.42
16169M,WRAP DAISY CARPET,277.2,660,25,0.42
16169N,WRAP BLUE RUSSIAN FOLKART,10.5,25,1,0.42
16169P,WRAP GREEN RUSSIAN FOLKART,21,50,2,0.42
16202A,PASTEL PINK PHOTO ALBUM,3.5,7,2,0.5
16202B,PASTEL BLUE PHOTO ALBUM,14.5,29,2,0.5
16202E,BLACK PHOTO ALBUM,7.5,15,3,0.5
16206B,RED PURSE WITH PINK HEART,8.75,7,2,1.25
16207A,PINK STRAWBERRY HANDBAG,163.1,60,34,2.751764705882353
16207B,PINK HEART RED HANDBAG,76.14,29,18,2.6994444444444445
16216,LETTER SHAPE PENCIL SHARPENER,234,3333,45,0.15244444444444444
16218,CARTOON  PENCIL SHARPENERS,283.31,3821,64,0.26984375
16219,HOUSE SHAPE PENCIL SHARPENER,404.84,3000,99,0.5218181818181818
16225,RATTLE SNAKE EGGS,689.35,813,102,1.4634313725490196
16235,RECYCLED PENCIL WITH RABBIT ERASER,695.4,3068,168,0.31648809523809524
16236,KITTY PENCIL ERASERS,320.09,1438,136,0.30455882352941177
16237,SLEEPING CAT ERASERS,1035.33,4931,289,0.29877133105802045
16238,PARTY TIME PENCIL ERASERS,321.67,1396,134,0.3123880597014925
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7.85,7,2,1.225
16248B,BLUE HOLE PUNCH,16.25,13,7,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,42.58,40,17,1.3088235294117647
