stock_code,description,units_cancelled,cancelled_value,cancelled_orders
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1
23166,MEDIUM CERAMIC TOP STORAGE JAR,74494,77479.64,10
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9376,321.6,4
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,3150,6591.420000000001,3
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2578,6624.3,42
21175,GIN + TONIC DIET METAL SIGN,2030,3775.33,7
22920,HERB MARKER BASIL,1527,841.0500000000001,2
22273,FELTCRAFT DOLL MOLLY,1447,3512.6499999999996,5
47566B,TEA TIME PARTY BUNTING,1424,3692.9499999999994,7
15034,PAPER POCKET TRAVELING FAN,1385,108.29000000000002,4
