country,total_revenue,total_orders,total_customers,total_quantity,average_order_value,average_unit_price
United Kingdom,8358157.043000001,17792,3909,4424331,469.7705172549461,1.8891346608108663
Germany,203961.43,443,94,117251,460.4095485327314,1.739528276944333
France,182834.59,380,87,109884,481.1436578947368,1.663887281132831
Spain,52029.97,87,29,26655,598.0456321839081,1.9519778653160758
Belgium,36813.69,98,25,22927,375.6498979591837,1.6056915427225542
Switzerland,52717.45,49,21,30282,1075.8663265306122,1.7408840235123175
Portugal,26831.260000000002,50,19,16063,536.6252000000001,1.6703766419722343
Italy,15586.74,35,14,8029,445.33542857142857,1.9413052684020426
Finland,18344.88,40,12,10608,458.622,1.729343891402715
Austria,8742.68,17,11,4844,514.275294117647,1.8048472336911643
