country,total_revenue,total_orders,total_customers,total_quantity,average_order_value,average_unit_price
United Kingdom,8358157.043000001,17792,3909,4424331,469.7705172549461,1.8891346608108663
Netherlands,283479.54,93,9,199934,3048.1670967741934,1.4178655956465633
EIRE,260601.49,279,3,142573,934.0555197132616,1.8278460157252776
Germany,203961.43,443,94,117251,460.4095485327314,1.739528276944333
France,182834.59,380,87,109884,481.1436578947368,1.663887281132831
Australia,137124.05,53,9,83464,2587.246226415094,1.6429125131793347
Switzerland,52717.45,49,21,30282,1075.8663265306122,1.7408840235123175
Spain,52029.97,87,29,26655,598.0456321839081,1.9519778653160758
Japan,37314.37,19,8,25976,1963.9142105263159,1.4364940714505698
Belgium,36813.69,98,25,22927,375.6498979591837,1.6056915427225542
