customer_id,total_revenue,total_orders,total_units,average_order_value,first_purchase,last_purchase
12748,33053.19,210,25288,157.39614285714288,2010-12-01T12:48:00Z,2011-12-09T12:20:00Z
14911,143711.17,201,80490,714.980945273632,2010-12-01T14:05:00Z,2011-12-08T15:54:00Z
17841,40519.84,124,22834,326.77290322580643,2010-12-01T14:41:00Z,2011-12-08T12:07:00Z
13089,58762.08,97,31025,605.7946391752578,2010-12-05T10:27:00Z,2011-12-07T09:02:00Z
14606,12076.15,93,6187,129.8510752688172,2010-12-01T16:57:00Z,2011-12-08T19:28:00Z
15311,60632.75,91,38147,666.2939560439561,2010-12-01T09:41:00Z,2011-12-09T12:00:00Z
12971,11189.91,86,9289,130.11523255813952,2010-12-02T16:42:00Z,2011-12-06T12:20:00Z
14646,280206.02,74,197491,3786.567837837838,2010-12-20T10:09:00Z,2011-12-08T12:12:00Z
16029,80850.84,63,40108,1283.3466666666666,2010-12-01T09:57:00Z,2011-11-01T10:27:00Z
13408,28117.04,62,16232,453.5006451612903,2010-12-01T10:39:00Z,2011-12-08T09:05:00Z
