stock_code,description,total_revenue,total_quantity,total_orders,average_price
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,2.08
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,1.46848
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13814.009999999998,54951,535,0.3207276119402985
85099B,JUMBO BAG RED RETROSPOT,94159.81,48371,2089,2.4861972498814606
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104284.24,37580,2189,3.1161586452762924
22197,POPCORN HOLDER,34288.67,36749,803,1.0208363636363635
21212,PACK OF 72 RETROSPOT CAKE CASES,21246.45,36396,1320,0.7612056213017752
84879,ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455,1.7225745257452574
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,2.386401179941003
22492,MINI PAINT SET VINTAGE,16937.82,26633,380,0.7850263157894737
