stock_code,description,total_revenue,total_quantity,total_orders,average_price
22423,REGENCY CAKESTAND 3 TIER,170280.38999999998,13510,1949,14.012689374682257
85123A,WHITE HANGING HEART T-LIGHT HOLDER,99762.92,35348,2244,3.2200826446280995
47566,PARTY BUNTING,98570.28,18082,1674,5.804401658767772
85099B,JUMBO BAG RED RETROSPOT,92601.23,47490,2078,2.4893088655862727
23084,RABBIT NIGHT LIGHT,66807.63,30709,991,2.3873076923076924
22086,PAPER CHAIN KIT 50'S CHRISTMAS,63936.94,18962,1153,3.366482582837723
84879,ASSORTED COLOUR BIRD ORNAMENT,58824.53,36301,1450,1.7226852481305235
79321,CHILLI LIGHTS,53761.61,10225,658,6.802379518072289
23298,SPOTTY BUNTING,42513.48,8320,1140,5.523960138648181
22386,JUMBO BAG PINK POLKADOT,41615.71,21008,1212,2.602234910277325
